業務人員,,下單客戶,,接單類別,類別名稱,訂單號碼,客戶訂單號碼,接單日,生管交期,訂單交期,訂單金額,未出貨金額,幣別,訂單重量(KG),出貨重量(KG),未出貨重量(KG),結案否,出貨達成率
SP000680,吳采駩,D01200,INTERCORP,S,小螺絲,24110036,64674-1224,2024/11/28,2025/3/20,2025/4/3,"71,911.92","71,911.92",USD,"12,014.40",0.00,"12,014.40",N,
SP000680,吳采駩,D04000,SIMPSON,S,小螺絲,24080002,4000082122,2024/8/2,2025/1/9,2025/1/13,"13,193.60","13,193.60",USD,"5,380.80",0.00,"5,380.80",N,
SP000680,吳采駩,D04000,SIMPSON,S,小螺絲,24080016,4000082977,2024/8/15,2025/2/10,2025/2/17,"31,468.50","31,468.50",USD,"15,390.00",0.00,"15,390.00",N,
SP000680,吳采駩,D04000,SIMPSON,S,小螺絲,24080016,4000082977,2024/8/15,2025/1/6,2025/1/13,"31,468.50","31,468.50",USD,"15,390.00",0.00,"15,390.00",N,
SP000680,吳采駩,D04000,SIMPSON,S,小螺絲,24080028,4000083590,2024/8/27,2025/1/6,2025/1/13,"3,937.50","3,937.50",USD,"2,025.00",0.00,"2,025.00",N,
SP000680,吳采駩,D04000,SIMPSON,S,小螺絲,24080028,4000083590,2024/8/27,2025/3/10,2025/3/17,"1,212.00","1,212.00",USD,561.60,0.00,561.60,N,
SP000680,吳采駩,D04000,SIMPSON,S,小螺絲,24080028,4000083590,2024/8/27,2025/2/24,2025/3/3,"16,054.50","16,054.50",USD,"3,465.00",0.00,"3,465.00",N,
SP000680,吳采駩,D04000,SIMPSON,S,小螺絲,24110024,4000088855,2024/11/12,2025/4/21,2025/4/28,"48,460.10","48,460.10",USD,"22,788.60",0.00,"22,788.60",N,
SP000680,吳采駩,D04000,SIMPSON,S,小螺絲,24110024,4000088855,2024/11/12,2025/3/10,2025/3/17,"63,558.00","63,558.00",USD,"15,807.00",0.00,"15,807.00",N,
SP000680,吳采駩,D04000,SIMPSON,S,小螺絲,24110024,4000088855,2024/11/12,2025/5/5,2025/5/12,"67,413.00","67,413.00",USD,"17,832.00",0.00,"17,832.00",N,
SP000680,吳采駩,D09000,BMD,S,小螺絲,24120004,2420426,2024/12/3,2025/2/28,2025/3/3,"34,266.72","34,266.72",USD,"17,817.84",0.00,"17,817.84",N,
SP000680,吳采駩,D09200,NATIONAL NAIL,S,小螺絲,24110033,325766,2024/11/25,2025/3/14,2025/3/21,"151,380.80","151,380.80",USD,"15,912.79",0.00,"15,912.79",N,
SP000680,吳采駩,D09200,NATIONAL NAIL,S,小螺絲,24120001,EB0314074庫存單-4,2024/12/2,2025/5/16,2025/5/23,"288,768.00","288,768.00",USD,"89,280.00",0.00,"89,280.00",N,
SP000680,吳采駩,D09200,NATIONAL NAIL,S,小螺絲,24120002,EB034104庫存單-4,2024/12/2,2025/5/16,2025/5/23,"209,352.00","209,352.00",USD,"63,471.76",0.00,"63,471.76",N,
SP000680,吳采駩,D09200,NATIONAL NAIL,S,小螺絲,24120003,EB0314148庫存單-4,2024/12/2,2025/5/16,2025/5/23,"13,952.00","13,952.00",USD,"3,219.20",0.00,"3,219.20",N,
